,CustomerKey,AverageVisitPerMonth,AverageSpentEachMonth,TotalVisit,TotalMonth,Gender,TotalChildren,HouseOwnerFlag,SalesTerritoryRegion,SalesTerritoryCountry,SalesTerritoryGroup,EnglishEducation,EnglishOccupation,Age,DateFirstPurchase,CommuteDistance,NumberCarsOwned,YearlyIncomeBand,TotalOrderNumber,TotalSpent,TotalProfit,TotalTransaction,AverageBasket,ChurnTarget
9226,28869,1,2177.805,3,2,F,0,1,Northwest,United States,North America,Partial College,Skilled Manual,37,2011-06-27,5-10 Miles,2,40K TO 80K,3,4355.61,1709.7847,2,1,1
9227,15885,2,698.975,5,2,M,4,1,Northwest,United States,North America,Bachelors,Management,69,2012-10-30,10+ Miles,3,40K TO 80K,5,1397.95,584.3366,2,2,1
9235,18739,2,2685.87,5,2,F,1,1,Australia,Australia,Pacific,Partial College,Skilled Manual,48,2011-07-20,0-1 Miles,1,40K TO 80K,5,5371.74,2083.3482,2,2,1
9236,12247,1,38.635,3,2,F,0,1,Australia,Australia,Pacific,Bachelors,Clerical,35,2013-02-01,0-1 Miles,0,Below 40k,3,77.27,28.5749,2,1,1
9241,20903,3,69.97,3,1,F,1,1,Germany,Germany,Europe,Bachelors,Skilled Manual,49,2013-05-27,0-1 Miles,2,Below 40k,3,69.97,43.8011,1,3,1
9243,12190,2,2945.265,5,2,M,1,0,Southwest,United States,North America,Graduate Degree,Management,54,2011-12-09,0-1 Miles,2,Above 120k,5,5890.53,2460.7954,2,2,1
9244,29170,1,3578.27,1,1,F,1,0,Southwest,United States,North America,Bachelors,Professional,56,2011-07-03,0-1 Miles,1,40K TO 80K,1,3578.27,1406.9758,1,1,1
9246,24902,1,1060.4637,2,2,F,0,1,Australia,Australia,Pacific,Bachelors,Professional,36,2012-04-04,10+ Miles,3,80k to 120k,2,2120.9275,802.1985,2,1,1
9247,26468,2,27.28,2,1,F,3,1,Southwest,United States,North America,Bachelors,Management,74,2013-02-08,10+ Miles,2,40K TO 80K,2,27.28,17.0772,1,2,1
9249,16458,1,24.99,1,1,F,0,0,Germany,Germany,Europe,Partial College,Clerical,38,2013-03-27,2-5 Miles,1,Below 40k,1,24.99,15.6437,1,1,1
9257,26130,1,21.49,1,1,M,4,1,Australia,Australia,Pacific,Bachelors,Professional,45,2013-03-23,10+ Miles,3,40K TO 80K,1,21.49,13.4527,1,1,1
9263,19406,4,1188.46,4,1,F,1,1,Northwest,United States,North America,Partial College,Skilled Manual,49,2013-02-26,0-1 Miles,1,40K TO 80K,4,1188.46,428.5793,1,4,1
9270,12021,2,2021.73,5,2,F,5,0,Australia,Australia,Pacific,High School,Skilled Manual,69,2011-12-03,0-1 Miles,2,Below 40k,5,4043.46,1793.7361,2,2,1
9272,28111,5,865.31,5,1,M,2,1,Australia,Australia,Pacific,Partial High School,Clerical,63,2013-03-27,5-10 Miles,2,Below 40k,5,865.31,336.498,1,5,1
9273,19160,3,1183.47,3,1,F,0,0,Southwest,United States,North America,Bachelors,Professional,52,2013-01-19,0-1 Miles,1,40K TO 80K,3,1183.47,421.8956,1,3,1
9275,20634,1,9.99,1,1,F,5,1,Northwest,United States,North America,Partial College,Professional,50,2013-04-07,2-5 Miles,0,80k to 120k,1,9.99,6.2537,1,1,1
9276,21862,2,13.98,2,1,F,4,1,France,France,Europe,High School,Management,66,2013-05-23,10+ Miles,3,80k to 120k,2,13.98,5.1914,1,2,1
9278,12605,1,9.99,1,1,F,3,1,Germany,Germany,Europe,Bachelors,Clerical,43,2013-05-12,0-1 Miles,0,Below 40k,1,9.99,6.2537,1,1,1
9279,19744,3,1179.47,3,1,F,3,1,Southwest,United States,North America,Graduate Degree,Management,73,2013-04-29,10+ Miles,2,40K TO 80K,3,1179.47,420.9756,1,3,1
9282,26714,3,36.27,3,1,F,2,0,Northwest,United States,North America,Partial High School,Skilled Manual,61,2013-05-18,1-2 Miles,2,40K TO 80K,3,36.27,22.7049,1,3,1
9283,15476,2,7.28,2,1,F,1,1,Southwest,United States,North America,Graduate Degree,Professional,45,2013-01-31,2-5 Miles,0,40K TO 80K,2,7.28,4.5572,1,2,1
9287,28586,1,3578.27,1,1,M,1,1,Southwest,United States,North America,Partial College,Clerical,55,2011-04-18,1-2 Miles,1,40K TO 80K,1,3578.27,1406.9758,1,1,1
9291,24656,2,34.89,2,1,F,5,1,Southwest,United States,North America,Bachelors,Management,69,2013-05-20,2-5 Miles,3,40K TO 80K,2,34.89,21.8411,1,2,1
9292,14002,2,85.48,2,1,F,0,1,Northwest,United States,North America,Partial College,Skilled Manual,37,2013-03-15,5-10 Miles,1,Below 40k,2,85.48,53.5105,1,2,1
9299,24089,3,1744.97,3,1,M,0,1,France,France,Europe,Bachelors,Professional,37,2013-05-30,0-1 Miles,0,40K TO 80K,3,1744.97,642.4514,1,3,1
9312,17119,4,107.45,9,2,F,4,1,Canada,Canada,North America,Partial College,Clerical,40,2013-02-24,0-1 Miles,1,40K TO 80K,9,214.9,89.7911,3,3,1
9317,24072,2,6.28,2,1,M,1,1,Germany,Germany,Europe,Bachelors,Skilled Manual,49,2013-05-30,0-1 Miles,2,Below 40k,2,6.28,3.9312,1,2,1
9321,25469,2,39.98,2,1,F,2,1,France,France,Europe,High School,Manual,50,2013-04-20,0-1 Miles,1,Below 40k,2,39.98,25.0274,1,2,1
9324,26774,1,665.985,3,2,F,1,1,Australia,Australia,Pacific,Partial College,Skilled Manual,41,2012-09-15,5-10 Miles,1,40K TO 80K,3,1331.97,498.2515,2,1,1
9325,13189,1,2382.815,3,2,F,2,1,Southwest,United States,North America,Graduate Degree,Management,67,2012-01-20,5-10 Miles,3,Above 120k,3,4765.63,1980.3676,2,1,1
9326,17102,3,32.27,3,1,M,0,1,Germany,Germany,Europe,High School,Manual,42,2013-03-12,2-5 Miles,1,Below 40k,3,32.27,20.2009,1,3,1
9335,18161,2,7.28,2,1,F,4,1,France,France,Europe,Partial College,Professional,61,2013-05-24,2-5 Miles,2,80k to 120k,2,7.28,4.5572,1,2,1
9348,27467,1,2049.0982,1,1,M,0,1,Southwest,United States,North America,Partial College,Skilled Manual,37,2012-12-20,5-10 Miles,2,40K TO 80K,1,2049.0982,943.2882,1,1,1
9352,16518,1,2349.38,2,2,F,1,0,Australia,Australia,Pacific,High School,Manual,39,2011-01-15,1-2 Miles,0,Below 40k,2,4698.76,1814.386,2,1,1
9358,29110,1,3578.27,1,1,F,0,1,Southwest,United States,North America,Partial College,Skilled Manual,42,2011-06-17,5-10 Miles,2,40K TO 80K,1,3578.27,1406.9758,1,1,1
9360,16687,2,3035.295,5,2,M,1,0,Australia,Australia,Pacific,Partial College,Skilled Manual,48,2011-02-03,0-1 Miles,1,40K TO 80K,5,6070.59,2326.033,2,2,1
9361,17992,3,31.27,3,1,F,5,1,Germany,Germany,Europe,Partial High School,Manual,50,2013-02-27,0-1 Miles,1,Below 40k,3,31.27,19.5749,1,3,1
9365,15307,2,39.98,2,1,F,4,1,Southwest,United States,North America,Bachelors,Management,64,2013-03-30,2-5 Miles,2,40K TO 80K,2,39.98,25.0274,1,2,1
9367,27358,2,78.98,2,1,M,0,1,Australia,Australia,Pacific,Bachelors,Professional,37,2013-04-27,10+ Miles,3,80k to 120k,2,78.98,49.4414,1,2,1
9368,29153,1,3.99,1,1,M,0,0,Southwest,United States,North America,Bachelors,Professional,49,2013-05-14,0-1 Miles,1,40K TO 80K,1,3.99,2.4977,1,1,1
9369,11022,2,2322.28,2,1,M,0,1,Northwest,United States,North America,Partial College,Skilled Manual,36,2013-01-20,5-10 Miles,1,40K TO 80K,2,2322.28,1055.804,1,2,1
9370,21387,2,1372.6662,4,2,M,3,1,Australia,Australia,Pacific,High School,Skilled Manual,63,2012-02-03,5-10 Miles,2,Below 40k,4,2745.3325,1072.1053,2,2,1
9373,19913,2,28.98,2,1,F,5,1,France,France,Europe,High School,Professional,71,2013-02-25,2-5 Miles,2,40K TO 80K,2,28.98,18.1414,1,2,1
9374,23614,5,144.45,5,1,F,4,0,United Kingdom,United Kingdom,Europe,Partial College,Professional,69,2013-05-18,5-10 Miles,4,Above 120k,5,144.45,70.6295,1,5,1
9375,27942,2,29.48,2,1,M,4,0,France,France,Europe,High School,Professional,55,2013-01-30,2-5 Miles,1,80k to 120k,2,29.48,18.4544,1,2,1
9378,25088,2,1249.84,2,1,F,1,1,Southwest,United States,North America,Partial College,Skilled Manual,48,2013-01-13,2-5 Miles,1,40K TO 80K,2,1249.84,481.6029,1,2,1
9387,19684,2,78.98,2,1,F,0,0,Northwest,United States,North America,Partial College,Professional,45,2013-03-23,10+ Miles,1,80k to 120k,2,78.98,45.8814,1,2,1
9394,11835,3,2386.15,7,2,M,3,1,Canada,Canada,North America,Bachelors,Skilled Manual,50,2013-01-10,2-5 Miles,2,80k to 120k,7,4772.3,2003.5089,2,3,1
9395,18287,2,36.08,5,2,F,2,1,Australia,Australia,Pacific,Bachelors,Professional,82,2013-02-26,5-10 Miles,1,40K TO 80K,5,72.16,45.172,2,2,1
9396,21158,3,49.97,3,1,M,4,1,Northwest,United States,North America,Bachelors,Professional,55,2013-03-04,2-5 Miles,1,40K TO 80K,3,49.97,31.2811,1,3,1
9399,19143,5,605.21,5,1,F,3,1,Northwest,United States,North America,Bachelors,Skilled Manual,49,2013-05-21,2-5 Miles,2,80k to 120k,5,605.21,281.9497,1,5,1
9404,19346,1,21.49,1,1,F,1,1,United Kingdom,United Kingdom,Europe,Bachelors,Skilled Manual,44,2013-02-02,0-1 Miles,0,40K TO 80K,1,21.49,13.4527,1,1,1
9408,13309,1,21.98,1,1,F,4,1,Southwest,United States,North America,Bachelors,Management,73,2013-04-19,5-10 Miles,2,80k to 120k,1,21.98,13.7595,1,1,1
9414,23783,2,58.98,2,1,M,1,1,Canada,Canada,North America,Bachelors,Skilled Manual,84,2013-03-03,2-5 Miles,1,Below 40k,2,58.98,15.5414,1,2,1
9415,28646,1,3578.27,1,1,F,1,1,Canada,Canada,North America,Graduate Degree,Skilled Manual,43,2011-08-20,1-2 Miles,0,40K TO 80K,1,3578.27,1406.9758,1,1,1
9423,21261,3,69.97,3,1,F,0,1,Southwest,United States,North America,Partial College,Skilled Manual,39,2013-04-19,5-10 Miles,1,40K TO 80K,3,69.97,43.8011,1,3,1
9426,28543,4,108.46,4,1,M,0,0,Germany,Germany,Europe,Partial College,Clerical,40,2013-03-30,1-2 Miles,1,Below 40k,4,108.46,48.0998,1,4,1
9427,27069,1,2049.0982,1,1,F,1,0,Southwest,United States,North America,Graduate Degree,Skilled Manual,42,2012-08-18,0-1 Miles,0,40K TO 80K,1,2049.0982,943.2882,1,1,1
9430,19787,1,3027.11,3,2,M,2,1,Australia,Australia,Pacific,High School,Skilled Manual,59,2011-09-03,5-10 Miles,2,80k to 120k,3,6054.22,2315.7855,2,1,1
9434,21802,4,77.96,4,1,M,3,1,Southwest,United States,North America,Bachelors,Management,65,2013-04-01,5-10 Miles,1,80k to 120k,4,77.96,23.8628,1,4,1
9435,29399,1,1968.235,3,2,F,0,1,Germany,Germany,Europe,Bachelors,Professional,44,2011-04-10,0-1 Miles,0,40K TO 80K,3,3936.47,1686.6887,2,1,1
9437,26757,1,672.235,3,2,M,1,1,Australia,Australia,Pacific,Bachelors,Professional,56,2012-09-18,2-5 Miles,1,80k to 120k,3,1344.47,506.0765,2,1,1
9441,26010,1,24.99,1,1,F,5,1,Northwest,United States,North America,Graduate Degree,Professional,55,2013-03-02,10+ Miles,3,40K TO 80K,1,24.99,15.6437,1,1,1
9442,17746,2,29.98,2,1,M,1,1,Germany,Germany,Europe,Partial College,Manual,55,2013-04-01,1-2 Miles,0,Below 40k,2,29.98,18.7674,1,2,1
9444,11317,1,2936.63,2,2,F,3,0,Northwest,United States,North America,Partial College,Professional,57,2011-09-01,5-10 Miles,2,40K TO 80K,2,5873.26,2449.9845,2,1,1
9445,26316,1,1000.4375,1,1,F,1,1,Canada,Canada,North America,Graduate Degree,Professional,45,2012-02-16,2-5 Miles,0,40K TO 80K,1,1000.4375,394.7883,1,1,1
9447,12791,2,29.93,2,1,F,4,1,Southwest,United States,North America,Graduate Degree,Skilled Manual,45,2013-02-22,0-1 Miles,0,40K TO 80K,2,29.93,18.7362,1,2,1
9449,22970,4,78.96,4,1,F,0,0,Northwest,United States,North America,High School,Skilled Manual,38,2013-02-15,5-10 Miles,2,40K TO 80K,4,78.96,49.4288,1,4,1
9450,27298,1,782.99,1,1,F,2,0,Canada,Canada,North America,Graduate Degree,Professional,40,2012-09-22,0-1 Miles,0,40K TO 80K,1,782.99,296.2834,1,1,1
9451,28772,1,3578.27,1,1,M,1,1,Northwest,United States,North America,High School,Clerical,55,2011-05-07,2-5 Miles,1,Below 40k,1,3578.27,1406.9758,1,1,1
9455,15247,2,7.28,2,1,F,0,0,Northwest,United States,North America,High School,Skilled Manual,39,2013-05-09,0-1 Miles,2,40K TO 80K,2,7.28,4.5572,1,2,1
9458,28340,1,3578.27,1,1,M,0,0,Southwest,United States,North America,High School,Skilled Manual,36,2011-04-17,0-1 Miles,2,40K TO 80K,1,3578.27,1406.9758,1,1,1
9459,24427,4,2400.34,4,1,F,3,0,Southwest,United States,North America,Partial College,Professional,54,2013-01-18,2-5 Miles,4,80k to 120k,4,2400.34,912.317,1,4,1
9466,24945,2,152.6,2,1,M,3,1,Northwest,United States,North America,Bachelors,Management,69,2013-05-12,10+ Miles,2,40K TO 80K,2,152.6,95.5276,1,2,1
9467,11623,2,2974.12,5,2,F,1,1,Southwest,United States,North America,Graduate Degree,Skilled Manual,42,2011-09-07,1-2 Miles,0,40K TO 80K,5,5948.24,2496.9219,2,2,1
9470,11546,2,2230.1898,5,2,F,1,1,France,France,Europe,Bachelors,Clerical,47,2012-12-02,2-5 Miles,0,Below 40k,5,4460.3796,2029.7293,2,2,1
9471,11005,2,2707.11,6,3,M,0,1,Australia,Australia,Pacific,Bachelors,Professional,44,2010-12-30,5-10 Miles,1,40K TO 80K,6,8121.33,3459.8654,3,2,1
9472,16415,2,2465.34,4,2,M,3,1,France,France,Europe,High School,Manual,51,2012-11-14,0-1 Miles,0,Below 40k,4,4930.68,1836.9371,2,2,1
9474,22844,2,39.99,2,1,F,0,0,Australia,Australia,Pacific,Bachelors,Professional,38,2013-03-31,10+ Miles,3,40K TO 80K,2,39.99,25.0337,1,2,1
9475,28002,2,39.98,2,1,F,3,1,Northwest,United States,North America,Graduate Degree,Management,76,2013-04-01,10+ Miles,2,40K TO 80K,2,39.98,25.0274,1,2,1
9476,15018,4,112.46,4,1,F,3,0,Australia,Australia,Pacific,High School,Skilled Manual,63,2013-02-11,1-2 Miles,2,Below 40k,4,112.46,45.4598,2,2,1
9481,19558,1,3014.785,3,2,F,4,1,Australia,Australia,Pacific,Graduate Degree,Management,45,2011-08-16,0-1 Miles,1,80k to 120k,3,6029.57,2300.3546,2,1,1
9482,17637,3,149.98,3,1,M,0,0,Germany,Germany,Europe,High School,Manual,37,2013-02-12,2-5 Miles,1,Below 40k,3,149.98,93.8874,1,3,1
9488,24318,3,71.58,3,1,M,1,1,Southwest,United States,North America,Graduate Degree,Management,43,2013-04-25,0-1 Miles,4,Above 120k,3,71.58,44.809,1,3,1
9492,23385,2,2414.695,5,2,M,1,1,Canada,Canada,North America,Partial College,Skilled Manual,48,2011-09-03,2-5 Miles,1,40K TO 80K,5,4829.39,1889.3799,2,2,1
9493,17975,1,759.2891,3,2,F,0,1,France,France,Europe,Graduate Degree,Clerical,41,2011-03-31,0-1 Miles,0,40K TO 80K,3,1518.5782,647.1612,2,1,1
9495,22091,2,548.98,2,1,F,3,1,Northwest,United States,North America,Partial College,Professional,59,2013-04-25,5-10 Miles,1,80k to 120k,2,548.98,201.9681,1,2,1
9503,20405,2,2563.35,2,1,M,0,0,Southwest,United States,North America,Partial College,Skilled Manual,37,2013-05-18,0-1 Miles,2,40K TO 80K,2,2563.35,963.5221,1,2,1
9514,18931,2,3030.25,5,2,F,2,1,Australia,Australia,Pacific,High School,Skilled Manual,58,2011-07-19,5-10 Miles,2,40K TO 80K,5,6060.5,2319.7167,2,2,1
9522,26654,2,673.38,4,2,F,1,1,Australia,Australia,Pacific,Graduate Degree,Management,45,2012-07-28,0-1 Miles,0,80k to 120k,4,1346.76,507.51,2,2,1
9530,22887,4,578.46,4,1,M,1,1,Southwest,United States,North America,Partial College,Skilled Manual,55,2013-04-27,2-5 Miles,1,40K TO 80K,4,578.46,220.4225,1,4,1
9533,28483,4,765.32,4,1,F,1,1,Australia,Australia,Pacific,High School,Manual,39,2013-05-22,2-5 Miles,0,Below 40k,4,765.32,291.7243,1,4,1
9535,27155,3,68.97,3,1,M,0,1,France,France,Europe,Partial High School,Manual,35,2013-03-15,1-2 Miles,2,Below 40k,3,68.97,43.1751,1,3,1
9537,27086,1,2049.0982,1,1,F,1,1,Northwest,United States,North America,Bachelors,Skilled Manual,45,2012-09-16,2-5 Miles,1,40K TO 80K,1,2049.0982,943.2882,1,1,1
9541,28314,3,553.97,3,1,M,1,1,Australia,Australia,Pacific,Bachelors,Professional,47,2013-05-11,5-10 Miles,1,40K TO 80K,3,553.97,205.0918,1,3,1
9544,15579,1,17.49,2,2,F,2,1,Australia,Australia,Pacific,Bachelors,Professional,47,2013-02-09,2-5 Miles,1,40K TO 80K,2,34.98,21.8974,2,1,1
9545,25612,2,574.98,2,1,M,1,0,United Kingdom,United Kingdom,Europe,Partial College,Manual,46,2013-02-07,0-1 Miles,0,Below 40k,2,574.98,218.2441,1,2,1
9546,20093,3,1179.97,3,1,F,1,1,Southwest,United States,North America,Partial College,Clerical,55,2013-05-04,1-2 Miles,1,40K TO 80K,3,1179.97,444.6446,1,3,1
9548,19701,4,1184.46,4,1,F,2,0,Northwest,United States,North America,High School,Professional,60,2013-03-22,1-2 Miles,2,40K TO 80K,4,1184.46,447.4553,1,4,1
9549,24361,2,1695.5162,4,2,M,2,0,Australia,Australia,Pacific,Bachelors,Professional,46,2012-11-13,0-1 Miles,1,40K TO 80K,4,3391.0325,1302.6103,2,2,1
9552,27232,1,2049.0982,1,1,M,2,0,Northwest,United States,North America,Partial College,Clerical,44,2012-10-10,1-2 Miles,1,40K TO 80K,1,2049.0982,943.2882,1,1,1
9560,23777,3,1179.47,3,1,F,2,1,United Kingdom,United Kingdom,Europe,Partial College,Clerical,45,2013-05-01,1-2 Miles,0,40K TO 80K,3,1179.47,424.5356,1,3,1
9562,28798,1,2443.35,1,1,M,2,0,Canada,Canada,North America,Partial College,Clerical,50,2012-02-24,1-2 Miles,1,40K TO 80K,1,2443.35,924.5636,1,1,1
9563,21321,3,49.97,3,1,M,4,0,Northwest,United States,North America,High School,Professional,49,2013-03-15,1-2 Miles,3,80k to 120k,3,49.97,31.2811,1,3,1
9564,22403,1,69.99,1,1,M,0,1,Australia,Australia,Pacific,Partial College,Manual,36,2013-05-05,2-5 Miles,1,Below 40k,1,69.99,43.8137,1,1,1
9566,20929,3,37.27,3,1,M,3,1,United Kingdom,United Kingdom,Europe,Partial College,Clerical,36,2013-03-07,0-1 Miles,2,Below 40k,3,37.27,23.3309,1,3,1
9570,29442,2,33.98,2,1,M,1,1,Germany,Germany,Europe,Bachelors,Manual,51,2013-04-19,0-1 Miles,0,Below 40k,2,33.98,21.2714,1,2,1
9571,12462,2,1682.5127,8,3,M,0,1,Germany,Germany,Europe,Graduate Degree,Clerical,47,2012-09-07,0-1 Miles,0,40K TO 80K,8,5047.5382,2265.1671,3,2,1
9572,19532,3,1205.47,3,1,F,0,1,Southwest,United States,North America,Graduate Degree,Professional,48,2013-01-31,2-5 Miles,1,40K TO 80K,3,1205.47,440.8116,1,3,1
9581,24630,1,4.99,1,1,F,3,1,Canada,Canada,North America,Graduate Degree,Management,76,2013-05-29,1-2 Miles,2,40K TO 80K,1,4.99,3.1237,1,1,1
9583,13146,2,30.97,2,1,F,0,0,Northwest,United States,North America,High School,Skilled Manual,39,2013-05-18,0-1 Miles,2,40K TO 80K,2,30.97,15.8272,1,2,1
9587,24530,2,36.59,2,1,M,0,0,Northwest,United States,North America,Graduate Degree,Management,48,2013-05-01,2-5 Miles,0,Above 120k,2,36.59,22.9053,1,2,1
9590,22074,3,553.97,3,1,M,1,1,Northwest,United States,North America,Partial College,Professional,47,2013-04-28,5-10 Miles,4,80k to 120k,3,553.97,205.0918,1,3,1
9593,12977,2,71.97,2,1,F,0,0,Southwest,United States,North America,Graduate Degree,Professional,42,2013-03-06,2-5 Miles,1,40K TO 80K,2,71.97,25.2572,1,2,1
9594,28629,1,3578.27,1,1,F,2,0,Southwest,United States,North America,Partial College,Clerical,55,2011-05-11,0-1 Miles,1,40K TO 80K,1,3578.27,1406.9758,1,1,1
9595,16976,3,1785.97,3,1,F,3,0,Southwest,United States,North America,Bachelors,Skilled Manual,49,2013-03-31,0-1 Miles,0,40K TO 80K,3,1785.97,651.8814,1,3,1
9596,28237,3,33.43,3,1,F,3,1,Southwest,United States,North America,Bachelors,Management,50,2013-01-29,2-5 Miles,4,Above 120k,3,33.43,20.9271,1,3,1
9598,27839,2,2419.06,2,1,F,1,1,United Kingdom,United Kingdom,Europe,Bachelors,Skilled Manual,40,2013-03-13,0-1 Miles,0,40K TO 80K,2,2419.06,924.0358,1,2,1
9609,24928,2,27.28,2,1,M,4,0,Southwest,United States,North America,High School,Professional,67,2013-04-13,1-2 Miles,2,Below 40k,2,27.28,17.0772,1,2,1
9610,19094,1,3010.81,2,2,M,0,0,Australia,Australia,Pacific,Bachelors,Professional,42,2011-07-21,10+ Miles,3,80k to 120k,2,6021.62,2295.3779,2,1,1
9612,20345,4,2520.83,4,1,F,1,1,Southwest,United States,North America,Bachelors,Management,48,2013-04-12,5-10 Miles,3,80k to 120k,4,2520.83,936.9045,1,4,1
9623,14935,2,29.93,2,1,M,1,0,Germany,Germany,Europe,Bachelors,Clerical,48,2013-03-10,0-1 Miles,0,Below 40k,2,29.93,18.7362,1,2,1
9626,23531,2,1668.6412,5,2,F,1,0,Australia,Australia,Pacific,Partial College,Skilled Manual,49,2012-08-03,0-1 Miles,1,40K TO 80K,5,3337.2825,1290.3428,2,2,1
9629,18871,3,86.96,3,1,M,3,1,Canada,Canada,North America,Graduate Degree,Management,77,2013-02-04,10+ Miles,2,40K TO 80K,3,86.96,54.4369,2,1,1
9631,12316,2,2266.4832,6,3,M,5,0,United Kingdom,United Kingdom,Europe,Partial College,Professional,56,2012-05-30,10+ Miles,2,Above 120k,6,6799.4496,2921.5114,3,2,1
9633,25005,3,64.97,3,1,F,0,0,Northwest,United States,North America,Partial College,Skilled Manual,36,2013-03-30,1-2 Miles,1,Below 40k,3,64.97,40.6711,1,3,1
9634,15519,1,21.98,1,1,F,4,0,Northwest,United States,North America,Partial High School,Clerical,93,2013-04-27,0-1 Miles,2,Below 40k,1,21.98,13.7595,1,1,1
9636,24613,2,1074.1037,4,2,F,0,1,Australia,Australia,Pacific,Partial High School,Professional,44,2012-03-16,10+ Miles,4,80k to 120k,4,2148.2075,819.2757,2,2,1
9637,19455,1,1739.3887,3,2,M,0,1,United Kingdom,United Kingdom,Europe,Bachelors,Clerical,48,2012-09-08,0-1 Miles,0,40K TO 80K,3,3478.7775,1305.0941,2,1,1
9638,22947,2,75.97,2,1,F,2,0,Australia,Australia,Pacific,Bachelors,Professional,81,2013-03-03,0-1 Miles,1,40K TO 80K,2,75.97,26.1772,1,2,1
9641,25174,3,92.08,3,1,F,5,1,Northwest,United States,North America,Partial College,Professional,52,2013-05-24,5-10 Miles,4,80k to 120k,3,92.08,57.642,1,3,1
9647,13790,1,2198.875,3,2,F,2,1,Germany,Germany,Europe,High School,Manual,50,2011-05-17,0-1 Miles,0,Below 40k,3,4397.75,1768.1851,2,1,1
9650,27401,1,69.99,1,1,M,5,0,Canada,Canada,North America,Partial High School,Clerical,70,2013-04-30,1-2 Miles,2,Below 40k,1,69.99,43.8137,1,1,1
9655,23986,4,1184.46,4,1,F,1,1,United Kingdom,United Kingdom,Europe,Bachelors,Clerical,69,2013-05-16,0-1 Miles,0,Below 40k,4,1184.46,447.4553,1,4,1
9657,18702,1,2666.625,3,2,F,2,1,Australia,Australia,Pacific,Bachelors,Professional,47,2011-06-29,2-5 Miles,1,40K TO 80K,3,5333.25,2037.8735,2,1,1
9658,13292,1,2239.4212,3,2,F,5,1,Northwest,United States,North America,Partial College,Professional,47,2012-02-18,5-10 Miles,4,80k to 120k,3,4478.8425,1905.3209,2,1,1
9664,23402,1,29.99,1,1,F,4,1,Northwest,United States,North America,Bachelors,Professional,56,2013-02-25,2-5 Miles,1,40K TO 80K,1,29.99,18.7737,1,1,1
9665,25629,2,23.78,2,1,M,3,1,Germany,Germany,Europe,Partial High School,Manual,46,2013-04-22,0-1 Miles,2,Below 40k,2,23.78,14.8862,1,2,1
9676,17431,1,4.99,1,1,F,5,1,Northwest,United States,North America,Partial College,Professional,53,2013-03-17,1-2 Miles,3,80k to 120k,1,4.99,3.1237,1,1,1
9681,13163,2,30.97,2,1,M,0,1,Southwest,United States,North America,Partial College,Skilled Manual,39,2013-05-30,5-10 Miles,1,40K TO 80K,2,30.97,19.3872,1,2,1
9684,21868,1,4.99,1,1,F,3,1,Germany,Germany,Europe,High School,Management,68,2013-02-05,10+ Miles,4,80k to 120k,1,4.99,3.1237,1,1,1
9686,19515,2,6.28,2,1,F,0,1,France,France,Europe,Partial College,Clerical,34,2013-03-28,2-5 Miles,1,Below 40k,2,6.28,3.9312,1,2,1
9689,20989,2,2074.37,4,2,F,1,1,Australia,Australia,Pacific,High School,Manual,39,2011-12-15,2-5 Miles,0,Below 40k,4,4148.74,1618.8366,2,2,1
9692,23591,2,7.28,2,1,M,4,1,Canada,Canada,North America,Bachelors,Management,52,2013-03-29,0-1 Miles,0,80k to 120k,2,7.28,4.5572,1,2,1
9697,27859,2,777.34,2,1,M,1,1,Germany,Germany,Europe,Partial College,Manual,72,2013-04-12,0-1 Miles,0,Below 40k,2,777.34,302.8089,1,2,1
9700,15562,1,673.985,3,2,F,4,1,Northwest,United States,North America,Bachelors,Professional,44,2012-09-25,2-5 Miles,0,40K TO 80K,3,1347.97,557.3374,2,1,1
9703,29333,2,54.98,2,1,F,2,0,Australia,Australia,Pacific,Bachelors,Management,77,2013-03-08,0-1 Miles,2,40K TO 80K,2,54.98,14.6214,1,2,1
9708,24470,2,39.98,2,1,M,5,1,Australia,Australia,Pacific,Bachelors,Professional,50,2013-05-01,1-2 Miles,4,80k to 120k,2,39.98,25.0274,1,2,1
9710,12960,2,25.635,4,2,F,1,0,Southwest,United States,North America,Bachelors,Professional,47,2013-04-06,2-5 Miles,1,40K TO 80K,4,51.27,28.5349,2,2,1
9712,27026,1,699.0982,1,1,M,1,0,Canada,Canada,North America,High School,Clerical,59,2011-12-01,10+ Miles,1,Below 40k,1,699.0982,285.9519,1,1,1
9714,24344,1,2164.805,3,2,M,0,0,Canada,Canada,North America,Partial College,Skilled Manual,42,2011-11-13,2-5 Miles,1,40K TO 80K,3,4329.61,1689.9487,2,1,1
9716,28423,2,33.98,2,1,M,0,0,Germany,Germany,Europe,Partial College,Clerical,37,2013-03-17,2-5 Miles,1,Below 40k,2,33.98,21.2714,1,2,1
9718,15831,2,1323.1791,5,2,M,2,1,Australia,Australia,Pacific,Bachelors,Management,75,2012-12-05,5-10 Miles,2,40K TO 80K,5,2646.3582,1220.2612,2,2,1
9720,12081,3,2366.96,3,1,F,5,1,Canada,Canada,North America,Bachelors,Management,63,2013-05-08,10+ Miles,3,40K TO 80K,3,2366.96,1068.2659,1,3,1
9722,14122,2,30.97,2,1,F,5,1,Southwest,United States,North America,Bachelors,Management,67,2013-04-16,5-10 Miles,2,80k to 120k,2,30.97,15.8272,1,2,1
